date,name,shortPercentage,longPercentage,shortVolume,longVolume,longPositions,shortPositions,totalPositions
2026-06-29,EURUSD,38,62,6238.88,10002.55,30547,18541,49088
2026-06-29,GBPUSD,45,55,2703.48,3262.32,16780,10188,26968
2026-06-29,USDJPY,85,15,2133.21,390.97,2372,7738,10110
2026-06-29,GBPJPY,50,50,308.85,304.35,1604,1419,3023
2026-06-29,USDCAD,92,8,5333.69,440.38,3039,15648,18687
2026-06-29,EURAUD,60,40,775.46,521.52,1834,2531,4365
2026-06-29,EURJPY,68,32,802.17,374.36,1669,1955,3624
2026-06-29,AUDCAD,30,70,3669.8,8510.87,25483,16813,42296
2026-06-29,AUDJPY,46,54,309.73,368.78,1993,1221,3214
2026-06-29,AUDNZD,89,11,5280.42,633.66,1836,14398,16234
2026-06-29,AUDUSD,27,73,1006.67,2766.82,7449,3441,10890
2026-06-29,CADJPY,32,68,91.51,197.82,992,550,1542
2026-06-29,EURCAD,69,31,250.52,112.76,718,1565,2283
2026-06-29,EURCHF,47,53,333.95,377.5,1929,2272,4201
2026-06-29,EURCZK,88,12,0.29,0.04,2,19,21
2026-06-29,EURDKK,0,0,0,0,0,0,0
2026-06-29,EURGBP,41,59,394.72,567.05,3355,2835,6190
2026-06-29,EURHUF,28,72,0.71,1.84,20,10,30
2026-06-29,EURNOK,100,0,0.7,0,0,9,9
2026-06-29,EURNZD,92,8,751.11,62.47,518,3156,3674
2026-06-29,EURPLN,100,0,4.28,0.01,1,28,29
2026-06-29,EURSEK,100,0,0.92,0,0,10,10
2026-06-29,EURTRY,100,0,0.54,0,0,5,5
2026-06-29,GBPCAD,75,25,219.46,71.83,694,1926,2620
2026-06-29,GBPCHF,51,49,138.11,133.2,1069,1610,2679
2026-06-29,NZDCAD,4,96,121.66,2903.81,10426,758,11184
2026-06-29,NZDJPY,8,92,55.14,625.16,2130,586,2716
2026-06-29,NZDUSD,7,93,151.71,2165.19,7174,810,7984
2026-06-29,USDCHF,65,35,1254.21,677.27,2863,4757,7620
2026-06-29,USDCZK,0,100,0,0.54,22,0,22
2026-06-29,USDDKK,0,0,0,0,0,0,0
2026-06-29,USDHKD,100,0,0.02,0,0,1,1
2026-06-29,USDHUF,0,100,0,6.87,70,0,70
2026-06-29,USDMXN,56,44,2.73,2.16,33,29,62
2026-06-29,USDNOK,77,23,1.94,0.59,15,7,22
2026-06-29,USDPLN,0,100,0,0.36,16,0,16
2026-06-29,USDSEK,79,21,5.6,1.53,21,15,36
2026-06-29,USDSGD,88,12,19.81,2.63,48,161,209
2026-06-29,USDTHB,6,94,0.01,0.15,6,1,7
2026-06-29,USDTRY,100,0,0.15,0,0,2,2
2026-06-29,USDZAR,75,25,4.97,1.66,66,116,182
2026-06-29,CHFJPY,69,31,502.6,227.45,1823,1947,3770
2026-06-29,AUDCHF,22,78,235.49,832.36,2239,1358,3597
2026-06-29,GBPNZD,93,7,959.14,67.16,529,4135,4664
2026-06-29,NZDCHF,10,90,62.51,550.32,3182,224,3406
2026-06-29,XAGUSD,36,64,77.24,138.83,1073,285,1358
2026-06-29,XAUUSD,42,58,730.92,991.18,9760,5766,15526
2026-06-29,CADCHF,17,83,118.35,567.63,4264,1005,5269
2026-06-29,GBPAUD,76,24,582.66,180.6,1485,2438,3923
2026-06-29,SPA35,0,100,0,0.18,1,0,1
2026-06-29,SGDJPY,98,2,7.6,0.15,15,51,66
2026-06-29,SUGAR,0,100,0,26.4,16,0,16
2026-06-29,GBPNOK,0,100,0,0.01,1,0,1
2026-06-29,US30,36,64,3,5.31,2,1,3
2026-06-29,EURZAR,97,3,0.88,0.03,2,10,12
2026-06-29,AUDSGD,25,75,1.24,3.76,73,16,89
2026-06-29,GBPZAR,0,0,0,0,0,0,0
2026-06-29,GBPSEK,69,31,0.36,0.16,5,3,8
2026-06-29,CHFSGD,86,14,0.7,0.11,7,25,32
2026-06-29,EURSGD,25,75,5.91,17.57,150,77,227
2026-06-29,GBPSGD,29,71,1.28,3.18,41,20,61
2026-06-29,AUDDKK,0,0,0,0,0,0,0
2026-06-29,EURHKD,38,63,1.08,1.8,45,4,49
2026-06-29,GBPDKK,0,0,0,0,0,0,0
2026-06-29,COPPER,0,100,0,0.03,3,0,3
2026-06-29,COFFEE,80,20,4,1,1,3,4
2026-06-29,EURO50,0,0,0,0,0,0,0
2026-06-29,TRYJPY,0,100,0.02,5.83,10,1,11
2026-06-29,US500,100,0,1.1,0,0,2,2
2026-06-29,GBPPLN,0,0,0,0,0,0,0
2026-06-29,WHEAT,0,100,0,0.01,1,0,1
2026-06-29,COCOA,100,0,0.05,0,0,1,1
2026-06-29,UK100,100,0,1.36,0,0,6,6
2026-06-29,XAUGBP,14,86,0.02,0.12,7,2,9
2026-06-29,COTTON,0,100,0,0.03,3,0,3
2026-06-29,NOKJPY,100,0,0.01,0,0,1,1
2026-06-29,SP500,0,0,0,0,0,0,0
2026-06-29,ZARJPY,0,100,0,0.06,6,0,6
2026-06-29,HKDJPY,0,0,0,0,0,0,0
2026-06-29,CHFNOK,50,50,0.02,0.02,1,1,2
2026-06-29,GBPTRY,100,0,0.4,0,0,2,2
2026-06-29,USDRUB,0,100,0,0.1,1,0,1
2026-06-29,SEKJPY,0,100,0,0.29,7,0,7
2026-06-29,MSFT,0,0,0,0,0,0,0
2026-06-29,JNJ,0,0,0,0,0,0,0
2026-06-29,EURMXN,100,0,2.2,0,0,24,24
2026-06-29,XAUAUD,95,5,0.19,0.01,1,9,10
2026-06-29,XAUEUR,70,30,7.41,3.13,62,16,78
2026-06-29,WS30,0,0,0,0,0,0,0
2026-06-29,NAS100,2,98,0.01,0.61,7,1,8
2026-06-29,SGDHKD,0,0,0,0,0,0,0
2026-06-29,US2000,100,0,2,0,0,2,2
2026-06-29,FRA40,94,6,4,0.26,1,4,5
2026-06-29,GER30,0,100,0,0.1,1,0,1
2026-06-29,AUDSEK,0,0,0,0,0,0,0
2026-06-29,XAUJPY,7,93,0.04,0.53,9,1,10
2026-06-29,XAUCHF,4,96,0.03,0.68,33,2,35
2026-06-29,USOIL,100,0,0.03,0,0,1,1
2026-06-29,CHFSEK,100,0,0.1,0,0,10,10
2026-06-29,AUS200,50,50,1,1,1,1,2
2026-06-29,GBPMXN,100,0,0.01,0,0,1,1
2026-06-29,JPN225,0,100,0,1,1,0,1
2026-06-29,XAGAUD,0,100,0,0.04,4,0,4
2026-06-29,NOKSEK,2,98,0.03,1.68,154,1,155
2026-06-29,USDX,0,100,0,0.3,1,0,1
2026-06-29,XAGEUR,0,100,0,0.57,36,0,36
2026-06-29,EBAY,0,0,0,0,0,0,0
2026-06-29,VIX,0,100,0,0.2,2,0,2
2026-06-29,CHFHKD,0,0,0,0,0,0,0
2026-06-29,YHOO,0,100,0,8,1,0,1
2026-06-29,XPTUSD,47,53,9.44,10.49,10,29,39
2026-06-29,GBPHKD,0,0,0,0,0,0,0
2026-06-29,XPDUSD,0,100,0,0.13,13,0,13
2026-06-29,CADHKD,0,0,0,0,0,0,0
2026-06-29,USDCNH,0,100,0,23.02,38,0,38
2026-06-29,AUDHKD,0,0,0,0,0,0,0
2026-06-29,NZDHKD,0,0,0,0,0,0,0
2026-06-29,AAPL,0,0,0,0,0,0,0
2026-06-29,PFE,0,100,0,0.5,1,0,1
2026-06-29,FB,0,100,0,0.5,1,0,1
2026-06-29,IT40,100,0,4,0,0,1,1
2026-06-29,GS,0,0,0,0,0,0,0
2026-06-29,NKE,0,0,0,0,0,0,0
2026-06-29,BA,0,0,0,0,0,0,0
2026-06-29,CVX,0,0,0,0,0,0,0
2026-06-29,GOOG,0,100,0,1,1,0,1
2026-06-29,XTIUSD,0,100,0,3,3,0,3
2026-06-29,BTCUSD,42,58,94.06,132.41,1370,599,1969
2026-06-29,XBRUSD,0,100,0,0.03,3,0,3
2026-06-29,US30.D,100,0,1,0,0,1,1
2026-06-29,BTCEUR,0,100,0,0.01,1,0,1
2026-06-29,LTCBTC,0,100,0,2,2,0,2
2026-06-29,LTCUSD,0,100,0.01,57.74,334,1,335
2026-06-29,TWTR,0,100,0,1,1,0,1
2026-06-29,HK50,100,0,0.1,0,0,1,1
2026-06-29,GOPRO,0,100,0,0.01,1,0,1
2026-06-29,XNGUSD,100,0,0.02,0,0,1,1
2026-06-29,APPL,0,0,0,0,0,0,0
2026-06-29,DXU5,0,0,0,0,0,0,0
2026-06-29,DXZ5,0,100,0,2,2,0,2
2026-06-29,OGZD,0,0,0,0,0,0,0
2026-06-29,CN50,33,67,0.2,0.4,4,1,5
2026-06-29,BTCJPY,0,100,0,0.1,10,0,10
2026-06-29,ETHUSD,11,89,69.65,552.4,1587,125,1712
2026-06-29,DSHUSD,3,97,0.01,0.33,2,1,3
2026-06-29,DASH,100,0,2.9,0,0,7,7
2026-06-29,BTCGBP,0,100,0,0.01,1,0,1
2026-06-29,ETCUSD,0,100,0,1,1,0,1
2026-06-29,XRPUSD,14,86,2.23,13.58,56,12,68
2026-06-29,BCHUSD,0,100,0,1.27,3,0,3
2026-06-29,ZECUSD,100,0,0.9,0,0,3,3
2026-06-29,XMRUSD,14,86,0.01,0.06,4,1,5
2026-06-29,NEOUSD,0,100,0,11.5,10,0,10
2026-06-29,OMGUSD,0,100,0,264,66,0,66
2026-06-29,RIPPLE,100,0,0.1,0,0,1,1
2026-06-29,EOSUSD,0,100,0,1,2,0,2
2026-06-29,IOTUSD,0,100,0,0.1,1,0,1
2026-06-29,QTMUSD,0,100,0,161,46,0,46
2026-06-29,XLMUSD,0,100,0,0.3,1,0,1
2026-06-29,TRXUSD,0,100,0,0.15,1,0,1
2026-06-29,ZRXUSD,100,0,0.02,0,0,2,2
2026-06-29,ADAUSD,2,98,0.1,6.28,10,1,11
2026-06-29,XTZUSD,0,100,0,0.7,2,0,2
2026-06-29,BATUSD,0,100,0,0.15,3,0,3
2026-06-29,FTMUSD,0,100,0,0.01,1,0,1
2026-06-29,FETUSD,0,100,0,0.05,5,0,5
2026-06-29,SCI25,0,100,0,0.2,2,0,2
2026-06-29,CNI30,100,0,0.2,0,0,2,2
2026-06-29,BIO30,0,100,0,0.1,1,0,1
2026-06-29,LAT30,0,100,0,0.1,1,0,1
2026-06-29,JPYX,100,0,1,0,0,1,1
2026-06-29,MKRUSD,0,100,0,0.01,1,0,1
2026-06-29,DOTUSD,0,100,0,0.76,6,0,6
2026-06-29,UNIUSD,0,100,0,15,5,0,5
2026-06-29,VETUSD,0,100,0,0.05,5,0,5
2026-06-29,YFIUSD,0,100,0,0.2,1,0,1
2026-06-29,ICPUSD,0,100,0,0.07,6,0,6
2026-06-29,SOLUSD,5,95,11.42,204.8,141,19,160
2026-06-29,SNXUSD,0,100,0,0.5,1,0,1
2026-06-29,FILUSD,0,100,0,0.34,9,0,9
2026-06-29,AXSUSD,0,100,0,0.14,4,0,4
2026-06-29,ENJUSD,100,0,0.01,0,0,1,1
2026-06-29,ZILUSD,0,100,0,0.1,10,0,10
2026-06-29,LRCUSD,0,100,0,0.3,1,0,1
2026-06-29,GRTUSD,0,100,0,4,4,0,4
2026-06-29,BNTUSD,0,100,0,0.3,1,0,1
